id,id_index,kode_provinsi,nama_provinsi,periode_update,cara_keluar,kategori,jumlah,satuan,tahun
87,260,35,JAWA TIMUR,2019-04,PULANG PAKSA,RUJUKAN,21,PASIEN,2019
87,261,35,JAWA TIMUR,2019-04,PULANG PAKSA,TOTAL,77,PASIEN,2019
88,262,35,JAWA TIMUR,2019-04,PULANG,NON RUJUKAN,596,PASIEN,2019
88,263,35,JAWA TIMUR,2019-04,PULANG,RUJUKAN,92,PASIEN,2019
88,264,35,JAWA TIMUR,2019-04,PULANG,TOTAL,688,PASIEN,2019
89,265,35,JAWA TIMUR,2019-04,PULANG PAKSA,NON RUJUKAN,0,PASIEN,2019
89,266,35,JAWA TIMUR,2019-04,PULANG PAKSA,RUJUKAN,0,PASIEN,2019
89,267,35,JAWA TIMUR,2019-04,PULANG PAKSA,TOTAL,0,PASIEN,2019
90,268,35,JAWA TIMUR,2019-04,DIRAWAT,NON RUJUKAN,642,PASIEN,2019
90,269,35,JAWA TIMUR,2019-04,DIRAWAT,RUJUKAN,946,PASIEN,2019
90,270,35,JAWA TIMUR,2019-04,DIRAWAT,TOTAL,1588,PASIEN,2019
91,271,35,JAWA TIMUR,2019-05,MENINGGAL,NON RUJUKAN,17,PASIEN,2019
91,272,35,JAWA TIMUR,2019-05,MENINGGAL,RUJUKAN,24,PASIEN,2019
91,273,35,JAWA TIMUR,2019-05,MENINGGAL,TOTAL,41,PASIEN,2019
92,274,35,JAWA TIMUR,2019-05,DIRUJUK,NON RUJUKAN,1,PASIEN,2019
92,275,35,JAWA TIMUR,2019-05,DIRUJUK,RUJUKAN,0,PASIEN,2019
92,276,35,JAWA TIMUR,2019-05,DIRUJUK,TOTAL,1,PASIEN,2019
93,277,35,JAWA TIMUR,2019-05,PULANG PAKSA,NON RUJUKAN,43,PASIEN,2019
93,278,35,JAWA TIMUR,2019-05,PULANG PAKSA,RUJUKAN,12,PASIEN,2019
93,279,35,JAWA TIMUR,2019-05,PULANG PAKSA,TOTAL,55,PASIEN,2019
94,280,35,JAWA TIMUR,2019-05,PULANG,NON RUJUKAN,520,PASIEN,2019
94,281,35,JAWA TIMUR,2019-05,PULANG,RUJUKAN,85,PASIEN,2019
94,282,35,JAWA TIMUR,2019-05,PULANG,TOTAL,605,PASIEN,2019
